Terror_Group,Region,Successful_Attacks,Total_Incidents
14 March Coalition_Middle East & North Africa,Middle East & North Africa,1,1
1920 Revolution Brigades_Middle East & North Africa,Middle East & North Africa,2,2
23 May Democratic Alliance (Algeria)_Sub-Saharan Africa,Sub-Saharan Africa,3,3
28s_Sub-Saharan Africa,Sub-Saharan Africa,1,1
313 Brigade (Syria)_Middle East & North Africa,Middle East & North Africa,3,3
Aba Cheali Group_Southeast Asia,Southeast Asia,1,1
Abbala extremists_Sub-Saharan Africa,Sub-Saharan Africa,5,5
Abdul Ghani Kikli Militia_Middle East & North Africa,Middle East & North Africa,1,1
Abdul Qader Husseini Battalions of the Free Palestine movement_Middle East & North Africa,Middle East & North Africa,1,1
Abdullah Azzam Brigades_Middle East & North Africa,Middle East & North Africa,16,19
Abdullah Azzam Brigades_South Asia,South Asia,7,7
Abida Tribe_Middle East & North Africa,Middle East & North Africa,3,3
Abu Abbas Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Abu Amarah Battalion_Middle East & North Africa,Middle East & North Africa,3,3
Abu Bakr Unis Jabr Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Abu Jaafar al-Mansur Brigades_Middle East & North Africa,Middle East & North Africa,1,1
Abu Obaida bin Jarrah Brigade_Middle East & North Africa,Middle East & North Africa,5,5
Abu Salim Martyr's Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Abu Sayyaf Group (ASG)_Southeast Asia,Southeast Asia,424,482
Abu Tira (Central Reserve Forces)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Aceh Singkil Islamic Care Youth Students Association (PPI)_Southeast Asia,Southeast Asia,3,3
Achik Matgrik Army (AMA)_South Asia,South Asia,1,1
A'chik Matgrik Elite Force (AMEF)_South Asia,South Asia,5,6
Achik National Cooperative Army (ANCA)_South Asia,South Asia,4,4
Achik National Liberation Army (ANLA)_South Asia,South Asia,4,4
Achik National Volunteer Council (ANVC)_South Asia,South Asia,1,1
Achik National Volunteer Council-B (ANVC-B)_South Asia,South Asia,7,9
Achik Songna An'pachakgipa Kotok (ASAK)_South Asia,South Asia,16,18
Achik Tiger Force_South Asia,South Asia,1,1
Adan Abyan Islamic Army (AAIA)_Middle East & North Africa,Middle East & North Africa,1,1
Adan-Abyan Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,43,47
Adivasi Cobra Militants of Assam (ACMA)_South Asia,South Asia,1,1
Adivasi National Liberation Army (ANLA)_South Asia,South Asia,6,6
Adivasi People's Army (APA)_South Asia,South Asia,3,3
Afar Revolutionary Democratic Unity Front_Sub-Saharan Africa,Sub-Saharan Africa,3,3
Afghan Revolutionary Front_Western Europe,Western Europe,0,1
Afghans_South Asia,South Asia,1,1
Africa Marine Commando_Sub-Saharan Africa,Sub-Saharan Africa,5,5
Agwelek Forces_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Ahfad al-Sahaba-Aknaf Bayt al-Maqdis_Middle East & North Africa,Middle East & North Africa,2,2
Ahle Sunnat Wal Jamaat (ASWJ-Pakistan)_South Asia,South Asia,2,3
Ahlu-sunah Wal-jamea (Somalia)_Sub-Saharan Africa,Sub-Saharan Africa,11,12
Ahmad Luebaesa Group_Southeast Asia,Southeast Asia,0,1
Ahneish Militia_Middle East & North Africa,Middle East & North Africa,1,3
Ahrar Al-Jalil (Free People of the Galilee)_Middle East & North Africa,Middle East & North Africa,4,4
Ahrar al-Sham_Middle East & North Africa,Middle East & North Africa,27,27
Aibed Er-Rahman katibet_Middle East & North Africa,Middle East & North Africa,1,1
Aisha Umm-al Mouemeneen (Brigades of Aisha)_Middle East & North Africa,Middle East & North Africa,1,1
Ajnad al-Sham_Middle East & North Africa,Middle East & North Africa,1,1
Ajnad Misr_Middle East & North Africa,Middle East & North Africa,30,32
Akhil Terai Mukti Morcha (ATMM)_South Asia,South Asia,12,15
Akhilesh Singh Gang_South Asia,South Asia,1,1
Al Bayda Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,2,2
Al Zawahiri Loyalists_Middle East & North Africa,Middle East & North Africa,1,1
Al-Ahwaz Arab People's Democratic Front_Middle East & North Africa,Middle East & North Africa,3,3
Al-Aqsa Martyrs Brigade_Middle East & North Africa,Middle East & North Africa,154,172
Al-Arifeen_South Asia,South Asia,4,4
Al-Ashtar Brigades_Middle East & North Africa,Middle East & North Africa,11,12
Al-Badr_South Asia,South Asia,2,2
Al-Bakazim_Middle East & North Africa,Middle East & North Africa,2,2
Albanian extremists_Eastern Europe,Eastern Europe,33,35
Albanian National Army (ANA)_Eastern Europe,Eastern Europe,5,6
Albanian Separatists_Eastern Europe,Eastern Europe,1,1
Alcubar group_Southeast Asia,Southeast Asia,1,1
Alde Hemendik Movement_Western Europe,Western Europe,1,1
Aleppo Fatah Operations Room_Middle East & North Africa,Middle East & North Africa,8,8
Alex Boncayao Brigade (ABB)_Southeast Asia,Southeast Asia,3,3
Alexandros Grigoropoulos Anarchist Attack Group_Western Europe,Western Europe,1,1
Al-Fajr_South Asia,South Asia,1,1
Al-Faruq Militia_Middle East & North Africa,Middle East & North Africa,1,1
Al-Fatah_Middle East & North Africa,Middle East & North Africa,24,27
Al-Fatah_South Asia,South Asia,1,1
Al-Fateh Al-Jadid_Middle East & North Africa,Middle East & North Africa,1,1
Al-Fatihin Army (AFA)_Middle East & North Africa,Middle East & North Africa,1,1
Al-Furqan (Tunisia)_Middle East & North Africa,Middle East & North Africa,0,1
Al-Furqan Brigades_Middle East & North Africa,Middle East & North Africa,3,3
Algeria Province of the Islamic State_Middle East & North Africa,Middle East & North Africa,9,10
Algerian Islamic Extremists_Middle East & North Africa,Middle East & North Africa,294,332
Algerian Moslem Fundamentalists_Middle East & North Africa,Middle East & North Africa,2,2
Al-Hamas Mujahideen_South Asia,South Asia,1,1
Al-Haramayn Brigades_Middle East & North Africa,Middle East & North Africa,2,3
Al-Haydariyah Battalion_Middle East & North Africa,Middle East & North Africa,1,1
Al-Herak Al-Tihami Movement_Middle East & North Africa,Middle East & North Africa,1,1
Al-Intiqami al-Pakistani_South Asia,South Asia,2,2
Al-Islah Party_Middle East & North Africa,Middle East & North Africa,5,5
Al-Ittihaad al-Islami (AIAI)_Sub-Saharan Africa,Sub-Saharan Africa,2,2
Al-Jihad (Pakistan)_South Asia,South Asia,1,1
Al-Jub Tribe_Middle East & North Africa,Middle East & North Africa,1,1
Al-Khobar_Southeast Asia,Southeast Asia,10,10
All Assam Revolutionary Army (AARA)_South Asia,South Asia,0,1
All Burma Students' Democratic Front (ABSDF)_Southeast Asia,Southeast Asia,3,4
All Ethiopian Unity Party (AEUP)_Sub-Saharan Africa,Sub-Saharan Africa,0,1
All India Anna Dravida Munetra Kazgan Party_South Asia,South Asia,1,1
All Kamatapur Liberation Force_South Asia,South Asia,1,1
All Nepal National Free Student Union-Revolutionary_South Asia,South Asia,6,6
All Tripura Tiger Force (ATTF)_South Asia,South Asia,6,6
Alliance of Patriots for a Free and Sovereign Congo (APCLS)_Sub-Saharan Africa,Sub-Saharan Africa,5,7
Allied Democratic Forces (ADF)_Sub-Saharan Africa,Sub-Saharan Africa,176,188
Allied Democratic Forces of Guinea (RDFG)_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Al-Madani Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Al-Madina_South Asia,South Asia,3,4
Al-Mansoorian_South Asia,South Asia,17,17
Al-Ma'unah_Southeast Asia,Southeast Asia,1,2
Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)_Middle East & North Africa,Middle East & North Africa,1,1
Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)_Sub-Saharan Africa,Sub-Saharan Africa,9,10
Al-Mujahedin Brigades (Palestine)_Middle East & North Africa,Middle East & North Africa,1,1
Al-Mus'abi Tribe_Middle East & North Africa,Middle East & North Africa,1,1
Al-Naqshabandiya Army_Middle East & North Africa,Middle East & North Africa,33,35
Al-Nasir Army (Syria)_Middle East & North Africa,Middle East & North Africa,3,3
Al-Nasireen Group_South Asia,South Asia,3,3
Al-Nasirin (India)_South Asia,South Asia,1,2
Al-Nusrah Front_Middle East & North Africa,Middle East & North Africa,268,277
Al-Qaida_Middle East & North Africa,Middle East & North Africa,7,8
Al-Qaida_South Asia,South Asia,36,40
Al-Qaida_Sub-Saharan Africa,Sub-Saharan Africa,2,3
Al-Qaida_Western Europe,Western Europe,12,15
Al-Qaida_North America,North America,4,4
Al-Qaida in Iraq_Middle East & North Africa,Middle East & North Africa,623,637
Al-Qaida in Iraq_Western Europe,Western Europe,1,1
Al-Qaida in Lebanon_Middle East & North Africa,Middle East & North Africa,1,1
Al-Qaida in Saudi Arabia_Middle East & North Africa,Middle East & North Africa,8,8
Al-Qaida in the Arabian Peninsula (AQAP)_Middle East & North Africa,Middle East & North Africa,899,1017
Al-Qaida in the Arabian Peninsula (AQAP)_Western Europe,Western Europe,1,2
Al-Qaida in the Arabian Peninsula (AQAP)_North America,North America,0,1
Al-Qaida in the Indian Subcontinent_South Asia,South Asia,15,17
Al-Qaida in the Islamic Maghreb (AQIM)_Middle East & North Africa,Middle East & North Africa,173,188
Al-Qaida in the Islamic Maghreb (AQIM)_Sub-Saharan Africa,Sub-Saharan Africa,70,74
Al-Qaida in Yemen_Middle East & North Africa,Middle East & North Africa,12,12
Al-Qaida Kurdish Battalions (AQKB)_Middle East & North Africa,Middle East & North Africa,2,2
Al-Qaida Network for Southwestern Khulna Division_South Asia,South Asia,2,2
Al-Qaida Organization for Jihad in Sweden_Western Europe,Western Europe,1,1
Al-Qaqa Brigade_Middle East & North Africa,Middle East & North Africa,4,4
Al-Saadawi Militia_Middle East & North Africa,Middle East & North Africa,1,1
Al-Sawaiq Brigade_Middle East & North Africa,Middle East & North Africa,1,1
Al-Shabaab_Sub-Saharan Africa,Sub-Saharan Africa,3016,3288
Al-Shabaab al-Mu'minin_Middle East & North Africa,Middle East & North Africa,3,4
Al-Sham Legion_Middle East & North Africa,Middle East & North Africa,6,6
Al-Shuda Brigade_South Asia,South Asia,5,5
Al-Sunna wal Jamma_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Al-Toaiman Tribesmen_Middle East & North Africa,Middle East & North Africa,1,1
Al-Umar Mujahideen_South Asia,South Asia,3,4
Al-Ummah_South Asia,South Asia,4,4
Al-Yakin Mujahidin_South Asia,South Asia,2,2
Al-Yakin Mujahidin_Southeast Asia,Southeast Asia,3,3
Al-Zaidi Tribe - Mareb_Middle East & North Africa,Middle East & North Africa,1,1
Al-Zawiya Syndicates Council_Middle East & North Africa,Middle East & North Africa,1,1
Al-Zintan Revolutionaries' Military Council_Middle East & North Africa,Middle East & North Africa,1,1
Amal_Middle East & North Africa,Middle East & North Africa,1,1
Amazigh Islamic Front_Middle East & North Africa,Middle East & North Africa,1,1
Ambazonia Defense Forces (ADF)_Sub-Saharan Africa,Sub-Saharan Africa,11,13
Amr Bil Maroof Wa Nahi Anil Munkir_South Asia,South Asia,3,3
Anarchist Action (CA / United States)_Western Europe,Western Europe,1,1
Anarchist Anti-Capitalist Action Group_Western Europe,Western Europe,1,1
Anarchist Attack Consortium_Western Europe,Western Europe,0,1
Anarchist Cell Acca (C.A.A.)_Western Europe,Western Europe,1,1
Anarchist Collective of Kallithea-Moschato_Western Europe,Western Europe,1,1
Anarchist Commando Nestor Makhno Group_Western Europe,Western Europe,1,1
Anarchist Faction_Western Europe,Western Europe,2,2
Anarchist Liberation Brigade_Western Europe,Western Europe,1,1
Anarchist Revolt Against Exiled Gendarmes_Western Europe,Western Europe,1,1
Anarchist Squad_Western Europe,Western Europe,1,1
Anarchist Struggle_Western Europe,Western Europe,1,1
Anarchists_Eastern Europe,Eastern Europe,0,1
Anarchists_South America,South America,9,10
Anarchists_Western Europe,Western Europe,55,68
Anarchists_North America,North America,5,5
Anarchists_Australasia & Oceania,Australasia & Oceania,1,1
Anarchists Attack Team_Western Europe,Western Europe,1,1
Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP)_South America,South America,1,1
Anas al-Dabbashi Brigade_Middle East & North Africa,Middle East & North Africa,2,3
Anbar Salvation Council_Middle East & North Africa,Middle East & North Africa,1,1
Angola Rebels_Sub-Saharan Africa,Sub-Saharan Africa,1,1
Angry Brigade_Western Europe,Western Europe,1,1
Angry Foxes Cell_Western Europe,Western Europe,1,1
Aniban ng Ayaw sa Komunista (ANAK) _Southeast Asia,Southeast Asia,1,1
Animal Liberation Front (ALF)_Western Europe,Western Europe,11,11
Animal Liberation Front (ALF)_North America,North America,34,42
Animal Liberation Front (ALF)_Australasia & Oceania,Australasia & Oceania,2,2
Animal Rights extremists_Western Europe,Western Europe,7,13
Animal Rights Militia_Western Europe,Western Europe,1,1
Anonymous Underground Movement (MCA)_Western Europe,Western Europe,1,1
Ansar Al Sunnah (Palestine)_Middle East & North Africa,Middle East & North Africa,3,3
Ansar al-Din_Middle East & North Africa,Middle East & North Africa,1,1
Ansar al-Din Front_Middle East & North Africa,Middle East & North Africa,2,2
Ansar al-Dine (Mali)_Sub-Saharan Africa,Sub-Saharan Africa,53,54
Ansar al-Furqan_Middle East & North Africa,Middle East & North Africa,1,1
Ansar al-Imam Musa al-Sadr_Middle East & North Africa,Middle East & North Africa,1,1
Ansar al-Islam_Middle East & North Africa,Middle East & North Africa,27,29
Ansar al-Islam (Burkina Faso)_Sub-Saharan Africa,Sub-Saharan Africa,10,11
Ansar al-Islam (Egypt)_Middle East & North Africa,Middle East & North Africa,1,1
Ansar al-Jihad_Middle East & North Africa,Middle East & North Africa,1,1
Ansar Al-Khilafa (Philippines)_Southeast Asia,Southeast Asia,2,3
Ansar al-Sharia (Libya)_Middle East & North Africa,Middle East & North Africa,64,65
Ansar al-Sharia (Pakistan)_South Asia,South Asia,5,6
Ansar al-Sharia (Tunisia)_Middle East & North Africa,Middle East & North Africa,11,13
Ansar al-Sharia Operations Room (Syria)_Middle East & North Africa,Middle East & North Africa,7,7
Ansar al-Sunna_Middle East & North Africa,Middle East & North Africa,16,17
Ansar al-Sunna (Mozambique)_Sub-Saharan Africa,Sub-Saharan Africa,5,6
Ansar al-Tahwid wal Sunna_Middle East & North Africa,Middle East & North Africa,1,1
Ansar Bayt al-Maqdis (Ansar Jerusalem)_Middle East & North Africa,Middle East & North Africa,66,73
Ansar Ghazwat-ul-Hind_South Asia,South Asia,1,1
Ansar Wa Mohajir (Pakistan)_South Asia,South Asia,2,2
Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan)_Sub-Saharan Africa,Sub-Saharan Africa,6,6
Ansaru ash-Sharia (Russia)_Eastern Europe,Eastern Europe,1,1
