iyear,eventid,natlty1_CountryCode,natlty1_txt,gname,success,[EG.ELC.ACCS.ZS],[FX.OWN.TOTL.SO.ZS],[SE.PRM.TENR],[SH.XPD.GHED.GD.ZS],[SE.PRM.CUAT.ZS],[SE.TER.CUAT.ST.ZS],[SE.SEC.CUAT.UP.ZS],[SE.TER.CUAT.MS.ZS],[SE.TER.CUAT.DO.ZS],[SE.XPD.PRIM.ZS],[SE.XPD.SECO.ZS],[SE.XPD.TERT.ZS],[SE.XPD.TOTL.GB.ZS],[SE.XPD.TOTL.GD.ZS],[IT.NET.USER.ZS],[IC.FRM.CORR.ZS],[SM.POP.TOTL.ZS],[SI.POV.NAHC],[SP.RUR.TOTL.ZS]
2007,84906,AFG,Afghanistan,Muslim extremists,1,33.74868011,0,0,0.55994753,0,0,0,0,0,0,0,0,0,0,1.9,0,0,36.3,76.887
2017,180102,AFG,Afghanistan,Kurdistan Workers' Party (PKK),1,0,30.55884552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.75
2016,166885,ALB,Albania,Muslim extremists,0,100,0,95.65854645,0,0,0,0,0,0,0,0,0,0,0,66.3634447,0,0,0,41.579
2001,72572,DZA,Algeria,Muslim extremists,1,98.94402313,0,92.64196014,2.92549014,0,0,0,0,0,0,0,0,0,0,0.646114017,0,0,0,39.288
2001,72725,DZA,Algeria,Muslim extremists,1,98.94402313,0,92.64196014,2.92549014,0,0,0,0,0,0,0,0,0,0,0.646114017,0,0,0,39.288
2002,74493,DZA,Algeria,Muslim extremists,1,98.91053772,0,93.90210724,2.80794219,0,0,0,0,0,0,0,0,0,0,1.59164126,0,0,0,38.499
2002,74917,DZA,Algeria,Muslim extremists,1,98.91053772,0,93.90210724,2.80794219,0,0,0,0,0,0,0,0,0,0,1.59164126,0,0,0,38.499
2002,75115,DZA,Algeria,Muslim extremists,1,98.91053772,0,93.90210724,2.80794219,0,0,0,0,0,0,0,0,0,0,1.59164126,0,0,0,38.499
2002,75354,DZA,Algeria,Muslim extremists,1,98.91053772,0,93.90210724,2.80794219,0,0,0,0,0,0,0,0,0,0,1.59164126,0,0,0,38.499
2005,79277,DZA,Algeria,Al-Qaida in Iraq,1,98.79664612,0,95.47720337,2.24167731,0,0,0,0,0,0,0,0,0,0,5.843942092,0,0.744071903,0,36.17
2008,86802,DZA,Algeria,Muslim extremists,1,99.3,0,97.22104645,3.02516067,64.37153625,8.031359673,25.41651917,0,0,0,0,26.97261047,11.42835045,4.33701992,10.18,0,0,0,33.903
2013,120860,DZA,Algeria,Muslim extremists,1,99.13498688,0,0,4.28772823,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,30.424
